Is there a fight?,violent
Is it peaceful?,peaceful
Were there attacks?,violent
Were there any dead?,violent
Was there vandalism?,violent
Were people cooperating?,peaceful
Was anyone arrested?,violent
Was there a march?,peaceful
Was it safe?,peaceful
Were there guns?,violent
Were there any shootings?,violent
Was there gas?,violent
Was there a riot?,violent
Were people taking action?,peaceful
riot control,violent
celebrity,peaceful
Senator,peaceful
damaged,violent
broken glass,violent
masks,violent
activist,peaceful
safe,peaceful
rise,peaceful
standing,peaceful
unity,peaceful
speaker,peaceful
hands,peaceful
rally,peaceful
chant,peaceful
support,peaceful
fire,violent
